run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,missing_keywords,missing_sections,error
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L3_acceptance_protocol,L3,resolved,False,0.5,28212,11,57685,"Mangel 1: Balkon EG Gefaelle 1,0% statt 2% nach DIN 18195, Schaetzkosten 4.800 EUR;Mangel 2: Trittschalldaemmung nicht normgerecht (56 dB gemessen, max 53 dB nach DIN 4109), Kosten 12.500 EUR;Mangel 3: Heizkoerper zu klein dimensioniert (800W statt 1.200W), Kosten 950 EUR;Mangel 4: Aufzugstuer Spalt 12mm statt max 6mm nach DIN EN 81-20, Kosten 2.200 EUR",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L3_progress_with_cost_comparison,L3,resolved,False,0.714,34776,11,50155,"Kosten Rohbau bisher 1.200.000 EUR (Budget 1.350.000 EUR), Mehrkosten Stahl 85.000 EUR;Haustechnik bisher 450.000 EUR (Budget 500.000 EUR)",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L3_safety_incident_report,L3,resolved,False,0.75,20609,11,54033,"Verletzungen: Prellung linker Unterarm und Huefte, keine Fraktur;Erstversorgung durch Ersthelfer Polier Albrecht, Abtransport per Rettungswagen",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L3_structural_assessment,L3,resolved,True,0.857,17474,11,55550,"Betonguete geschaetzt B25 (C20/25), Bewehrung BSt 420",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L3_environmental_compliance,L3,resolved,True,0.857,61858,11,56669,Die Pruefung wurde durch Umweltbeauftragten Dr. Pfeifer durchgefuehrt,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L3_schedule_variance_analysis,L3,resolved,False,0.571,24793,11,57687,"Die Baustelle Kongresszentrum Messestadt hat eine Gesamtbauzeit von 18 Monaten (01.10.2025 bis 31.03.2027);Beschleunigungsmassnahmen: Samstagsarbeit Rohbau (45.000 EUR) und paralleles Arbeiten Fassade/Rohbau (12.000 EUR);Die Vertragsstrafe betraegt 0,3% pro Werktag (15.000 EUR/Tag) ab 01.04.2027",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L3_warranty_claim_report,L3,resolved,True,1.0,28795,11,57184,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L4_fire_safety_audit,L4,resolved,False,0.625,27580,11,60143,"Brandschutzklappe BSK-47 schliesst nicht vollstaendig (Spalt 3mm, max 0mm);Sprinkleranlage: Pumpendruck 8,2 bar statt min 9,0 bar (VdS CEA 4001);4 von 24 Rauchmeldern in Tiefgarage Ebene -2 zeigen Stoerung",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L4_energy_evaluation,L4,build_timeout,False,0.0,180000,0,0,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L4_procurement_documentation,L4,resolved,False,0.286,20399,11,52504,"Submission am 01.04.2026 um 12:00 Uhr, 5 Bieter;Bieter 1 DachProfi GmbH: 287.340 EUR brutto, alle Nachweise vollstaendig;Bieter 2 Zimmerei Wald: 298.100 EUR, Eignungsnachweis Haftpflicht fehlt (nachgefordert gem. §16a VOB/A);Bieter 3 BedachungsCenter: 245.890 EUR, Ausschluss wegen nicht gekennzeichnetem Nebenangebot (§16 Abs. 1 Nr. 1c VOB/A);Bieter 5 Express-Bau: Ausschluss wegen verspaetem Eingang (§14a VOB/A)",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L4_noise_protection_assessment,L4,resolved,True,1.0,23402,11,56550,,,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L4_facade_inspection_report,L4,resolved,False,0.75,119158,11,70463,"Das Objekt ist Wohnhochhaus Turmblick, 16 Stockwerke, Baujahr 1978, WDVS-Sanierung 2005;Geschaetzte Kosten: Nordseite 45.000, Ost 28.000, Sued 12.000 EUR, Gesamt 85.000 EUR",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L4_demolition_planning_report,L4,resolved,False,0.375,18292,11,51975,"Das Objekt ist das ehemalige Postgebaeude Bahnhofstrasse 1, Baujahr 1964, 5 Geschosse, 4.200 m2 BGF;Asbest: Fassadenplatten 1.200 m2, Floorflexplatten 180 m2, Spritzasbest Heizung UG 45 lfm (Gefahrenstufe HOCH);KMF: Mineralwolledaemmung Dach und Fassade (TRGS 521);PCB: Dehnungsfugenabdichtung 120 lfm, 2.400 mg/kg gemessen (Sanierungsleitwert 300 mg/kg ueberschritten);Selektiver Rueckbau in 4 Phasen: Schadstoffsanierung (185.000 EUR), Entkernung (45.000 EUR), Abbruch (120.000 EUR), Kellerrueckbau (35.000 EUR)",,
4ffaf097-c148-4cc1-a351-01d69b0a7439,progressive_complexity,1,L4_accessibility_audit,L4,resolved,True,1.0,22910,11,55678,,,
